id,lemma_key,word,standardized,chinese,phonetic,phrase,phrase_translation,difficulty,category,status,created_at,updated_at
"16211","agent","Agent","Agent","智能体","/ˈeɪdʒənt/","education edition agent","教育版智能体","advanced","entity","active","2026-02-18T08:53:01.821Z","2026-02-18T08:53:01.821Z"
"15699","agreement","agreement","agreement","同意","/əˈɡriːmənt/","We reached an agreement","我们达成了一致","intermediate","communication","active","2026-02-18T08:53:01.821Z","2026-02-18T08:53:01.821Z"
"15129","air","air","air","空气","/air/","Fresh air","新鲜的空气","basic","general","active","2026-02-18T08:53:01.821Z","2026-02-18T08:53:01.821Z"
"15244","airplane","airplane","airplane","飞机","/ˈɛrˌpleɪn/","Flying airplane","飞行的飞机","basic","transport","active","2026-02-18T08:53:01.821Z","2026-02-18T08:53:01.821Z"
"15358","airport","airport","airport","机场","/ˈerpɔːrt/","Fly from airport","从机场起飞","intermediate","structure","active","2026-02-18T08:53:01.821Z","2026-02-18T08:53:01.821Z"
"15463","algae","algae","algae","藻类","/ˈældʒiː/","Green algae","绿色藻类","advanced","plant","active","2026-02-18T08:53:01.821Z","2026-02-18T08:53:01.821Z"
"15108","all","all","all","全部","/all/","All the toys","所有的玩具","basic","general","active","2026-02-18T08:53:01.821Z","2026-02-18T08:53:01.821Z"
"16212","allay","Allay","Allay","悦灵","/əˈleɪ/","allay item collection","悦灵物品收集","advanced","entity","active","2026-02-18T08:53:01.821Z","2026-02-18T08:53:01.821Z"
"16511","allay spawn egg","Allay Spawn Egg","Allay Spawn Egg","悦灵刷怪蛋","/əˈleɪ spɔn ɛɡ/","spawn an allay","生成一只悦灵","advanced","item","active","2026-02-18T08:53:01.821Z","2026-02-18T08:53:01.821Z"
"16064","allium","Allium","Allium","绒球葱","/ˈæliəm/","allium flower purple","绒球葱紫色花朵","intermediate","block","active","2026-02-18T08:53:01.821Z","2026-02-18T08:53:01.821Z"
"16931","allow","allow","Allow","Allow","","","","","","active","2026-02-18T08:53:01.821Z","2026-02-18T08:53:01.821Z"
"15739","alphabet chart","alphabet chart","alphabet chart","字母表","/ˈæl.fə.bet ˌtʃɑːrt/","Point to the letter on the alphabet chart","指向字母表上的字母","basic","school","active","2026-02-18T08:53:01.821Z","2026-02-18T08:53:01.821Z"
"15651","also","also","also","也","/ˈɔːlsoʊ/","Also good","也很好","intermediate","common","active","2026-02-18T08:53:01.821Z","2026-02-18T08:53:01.821Z"
"16365","altitude","Altitude","Altitude","高度","/ˈæltəˌtud/","world altitude level","世界高度等级","intermediate","environment","active","2026-02-18T08:53:01.821Z","2026-02-18T08:53:01.821Z"
"17064","aluminum","aluminum","Aluminum","Aluminum","","","","","","active","2026-02-18T08:53:01.821Z","2026-02-18T08:53:01.821Z"
"15631","always","always","always","总是","/ˈɔːlweɪz/","Always happy","总是快乐","intermediate","common","active","2026-02-18T08:53:01.821Z","2026-02-18T08:53:01.821Z"
"15677","amazing","amazing","amazing","令人惊叹的","/əˈmeɪzɪŋ/","That's amazing","太令人惊叹了","intermediate","emotion","active","2026-02-18T08:53:01.821Z","2026-02-18T08:53:01.821Z"
"16366","ambience","Ambience","Ambience","环境音效","/ˈæmbiəns/","cave ambience sounds","洞穴环境音效","intermediate","environment","active","2026-02-18T08:53:01.821Z","2026-02-18T08:53:01.821Z"
"16730","ambient","Ambient","Ambient","环境","/ˈæmbiənt/","ambient effect source","环境效果来源","advanced","game_mechanic","active","2026-02-18T08:53:01.821Z","2026-02-18T08:53:01.821Z"
"15283","ambulance","ambulance","ambulance","救护车","/ˈæmbjələns/","Emergency ambulance","紧急救护车","intermediate","transport","active","2026-02-18T08:53:01.821Z","2026-02-18T08:53:01.821Z"
"17150","americium","americium","Americium","Americium","","","","","","active","2026-02-18T08:53:01.821Z","2026-02-18T08:53:01.821Z"
"16126","amethyst block","Amethyst Block","Amethyst Block","紫水晶块","/ˈæməθɪst blɑk/","beautiful amethyst block","美丽的紫水晶块","intermediate","block","active","2026-02-18T08:53:01.821Z","2026-02-18T08:53:01.821Z"
"16065","amethyst bud","Amethyst Bud","Amethyst Bud","紫晶芽","/ˈæməθɪst bʌd/","amethyst bud growing","紫晶芽生长","intermediate","block","active","2026-02-18T08:53:01.821Z","2026-02-18T08:53:01.821Z"
"16066","amethyst cluster","Amethyst Cluster","Amethyst Cluster","紫水晶簇","/ˈæməθɪst ˈklʌstər/","amethyst cluster mining","紫水晶簇开采","intermediate","block","active","2026-02-18T08:53:01.821Z","2026-02-18T08:53:01.821Z"
"16367","amethyst geode","Amethyst Geode","Amethyst Geode","紫晶洞","/ˈæməθɪst ˈdʒioʊd/","underground amethyst geode","地下紫晶洞","advanced","environment","active","2026-02-18T08:53:01.821Z","2026-02-18T08:53:01.821Z"
"16512","amethyst shard","Amethyst Shard","Amethyst Shard","紫水晶碎片","/ˈæməθɪst ʃɑrd/","craft spyglass with amethyst shard","用紫水晶碎片合成望远镜","intermediate","item","active","2026-02-18T08:53:01.821Z","2026-02-18T08:53:01.821Z"
"15496","amphibian","amphibian","amphibian","两栖动物","/æmˈfɪbiən/","Frog is an amphibian","青蛙是两栖动物","advanced","biology","active","2026-02-18T08:53:01.821Z","2026-02-18T08:53:01.821Z"
"16368","amplified","Amplified","Amplified","放大化","/ˈæmpləˌfaɪd/","amplified world generation","放大化世界生成","advanced","environment","active","2026-02-18T08:53:01.821Z","2026-02-18T08:53:01.821Z"
"16727","amplifier","Amplifier","Amplifier","倍率","/ˈæmplɪˌfaɪər/","effect amplifier level","效果倍率等级","advanced","game_mechanic","active","2026-02-18T08:53:01.821Z","2026-02-18T08:53:01.821Z"
"17362","anchor","anchor","Anchor","Anchor","","","","","","active","2026-02-18T08:53:01.821Z","2026-02-18T08:53:01.821Z"
"15422","ancient","ancient","ancient","古代的","/ˈeɪnʃənt/","Ancient civilization","古代文明","intermediate","history","active","2026-02-18T08:53:01.821Z","2026-02-18T08:53:01.821Z"
"16369","ancient city","Ancient City","Ancient City","远古城市","/ˈeɪnʃənt ˈsɪti/","deep dark ancient city","深暗之域远古城市","advanced","environment","active","2026-02-18T08:53:01.821Z","2026-02-18T08:53:01.821Z"
"16067","ancient debris","Ancient Debris","Ancient Debris","远古残骸","/ˈeɪnʃənt dɪˈbri/","ancient debris netherite","远古残骸下界合金","advanced","block","active","2026-02-18T08:53:01.821Z","2026-02-18T08:53:01.821Z"
"16933","ancientdebris","ancientdebris","Ancientdebris","Ancientdebris","","","","","","active","2026-02-18T08:53:01.821Z","2026-02-18T08:53:01.821Z"
"16853","and","and","And","And","","","","","","active","2026-02-18T08:53:01.821Z","2026-02-18T08:53:01.821Z"
"15950","andesite","Andesite","Andesite","安山岩","/ˈændəˌzaɪt/","polished andesite stairs","磨制安山岩楼梯","intermediate","block","active","2026-02-18T08:53:01.821Z","2026-02-18T08:53:01.821Z"
"16068","andesite slab","Andesite Slab","Andesite Slab","安山岩台阶","/ˈændəˌzaɪt slæb/","andesite slab building","安山岩台阶建造","intermediate","block","active","2026-02-18T08:53:01.821Z","2026-02-18T08:53:01.821Z"
"16069","andesite stairs","Andesite Stairs","Andesite Stairs","安山岩楼梯","/ˈændəˌzaɪt stɛrz/","andesite stairs decoration","安山岩楼梯装饰","intermediate","block","active","2026-02-18T08:53:01.821Z","2026-02-18T08:53:01.821Z"
"16070","andesite wall","Andesite Wall","Andesite Wall","安山岩墙","/ˈændəˌzaɪt wɔl/","andesite wall fence","安山岩墙栅栏","intermediate","block","active","2026-02-18T08:53:01.821Z","2026-02-18T08:53:01.821Z"
"14978","angle","angle","angle","角度","/angle/","Right angle","直角","basic","general","active","2026-02-18T08:53:01.821Z","2026-02-18T08:53:01.821Z"
"16513","angler pottery sherd","Angler Pottery Sherd","Angler Pottery Sherd","垂钓纹样陶片","/ˈæŋɡlər ˈpɑtəri ʃərd/","decorate pottery with sherd","用陶片装饰陶器","advanced","item","active","2026-02-18T08:53:01.821Z","2026-02-18T08:53:01.821Z"
"14890","angry","angry","angry","生气的","/angry/","Angry cat","生气的猫咪","basic","general","active","2026-02-18T08:53:01.821Z","2026-02-18T08:53:01.821Z"
"14859","animal","animal","animal","动物","/animal/","Many animals","各种动物","intermediate","general","active","2026-02-18T08:53:01.821Z","2026-02-18T08:53:01.821Z"
"14929","ankle","ankle","ankle","脚踝","/ankle/","Twist ankle","扭到脚踝","basic","general","active","2026-02-18T08:53:01.821Z","2026-02-18T08:53:01.821Z"
"15646","another","another","another","另一个","/əˈnʌðər/","Another book","另一本书","intermediate","common","active","2026-02-18T08:53:01.821Z","2026-02-18T08:53:01.821Z"
"14749","answer","answer","answer","回答","/answer/","Answer the teacher's question","回答老师的问题","intermediate","general","active","2026-02-18T08:53:01.821Z","2026-02-18T08:53:01.821Z"
"15138","ant","ant","ant","蚂蚁","/ant/","Tiny ant","小小的蚂蚁","basic","general","active","2026-02-18T08:53:01.821Z","2026-02-18T08:53:01.821Z"
"17104","antimony","antimony","Antimony","Antimony","","","","","","active","2026-02-18T08:53:01.821Z","2026-02-18T08:53:01.821Z"
"16071","anvil","Anvil","Anvil","铁砧","/ˈænvɪl/","anvil enchanting repair","铁砧附魔修复","intermediate","block","active","2026-02-18T08:53:01.821Z","2026-02-18T08:53:01.821Z"
"15352","apartment","apartment","apartment","公寓","/əˈpɑːrtmənt/","Small apartment","小公寓","intermediate","structure","active","2026-02-18T08:53:01.821Z","2026-02-18T08:53:01.821Z"
"15220","apple","Apple","Apple","苹果","/ˈæpəl/","eat apple","吃苹果","basic","food","active","2026-02-18T08:53:01.821Z","2026-02-18T08:53:01.821Z"
"15703","appointment","appointment","appointment","约会","/əˈpɔɪntmənt/","Make an appointment","预约","intermediate","social","active","2026-02-18T08:53:01.821Z","2026-02-18T08:53:01.821Z"
"15074","apron","apron","apron","围裙","/apron/","Wear an apron","系围裙","basic","general","active","2026-02-18T08:53:01.821Z","2026-02-18T08:53:01.821Z"
"16173","aqua affinity","Aqua Affinity","Aqua Affinity","水下速掘","/ˈækwə əˈfɪnəti/","aqua affinity helmet","水下速掘头盔","intermediate","enchantment_armor","active","2026-02-18T08:53:01.821Z","2026-02-18T08:53:01.821Z"
"15328","aquarium","aquarium","aquarium","水族馆","/əˈkweriəm/","Beautiful aquarium","美丽的水族馆","intermediate","place","active","2026-02-18T08:53:01.821Z","2026-02-18T08:53:01.821Z"
"16370","aquifer","Aquifer","Aquifer","含水层","/ˈækwəfər/","underground water aquifer","地下水含水层","advanced","environment","active","2026-02-18T08:53:01.821Z","2026-02-18T08:53:01.821Z"
"15893","arbalistic","Arbalistic","Arbalistic","神臂弩手","/ˌɑrbəˈlɪstɪk/","kill five mobs with crossbow","用弩杀死五种生物","master","advancement_adventure","active","2026-02-18T08:53:01.821Z","2026-02-18T08:53:01.821Z"
"16514","archer pottery sherd","Archer Pottery Sherd","Archer Pottery Sherd","弓箭纹样陶片","/ˈɑrtʃər ˈpɑtəri ʃərd/","archer pottery decoration","弓箭陶器装饰","advanced","item","active","2026-02-18T08:53:01.821Z","2026-02-18T08:53:01.821Z"
"16213","area effect cloud","Area Effect Cloud","Area Effect Cloud","区域效果云","/ˈɛriə ɪˈfɛkt klaʊd/","lingering potion cloud","滞留药水云","advanced","entity","active","2026-02-18T08:53:01.821Z","2026-02-18T08:53:01.821Z"
"17069","argon","argon","Argon","Argon","","","","","","active","2026-02-18T08:53:01.821Z","2026-02-18T08:53:01.821Z"
"14916","arm","arm","arm","手臂","/arm/","Raise your arm","举起手臂","basic","general","active","2026-02-18T08:53:01.821Z","2026-02-18T08:53:01.821Z"
"16679","armadillo scute","Armadillo Scute","Armadillo Scute","犰狳鳞甲","/ˌɑrməˈdɪloʊ skjut/","craft wolf armor with scute","用鳞甲合成狼铠甲","advanced","item","active","2026-02-18T08:53:01.821Z","2026-02-18T08:53:01.821Z"
"16905","armor","Armor","Armor","Armor","","","","","","active","2026-02-18T08:53:01.821Z","2026-02-18T08:53:01.821Z"
"16214","armor stand","Armor Stand","Armor Stand","盔甲架","/ˈɑrmər stænd/","armor display stand","盔甲展示架","intermediate","entity","active","2026-02-18T08:53:01.821Z","2026-02-18T08:53:01.821Z"
"16936","armorstand","armorstand","Armorstand","Armorstand","","","","","","active","2026-02-18T08:53:01.821Z","2026-02-18T08:53:01.821Z"
"16515","arms up pottery sherd","Arms Up Pottery Sherd","Arms Up Pottery Sherd","举臂纹样陶片","/ɑrmz ʌp ˈpɑtəri ʃərd/","arms up pottery pattern","举臂陶器图案","advanced","item","active","2026-02-18T08:53:01.821Z","2026-02-18T08:53:01.821Z"
"16401","arrow","Arrow","Arrow","箭","/ˈæroʊ/","sharp arrow","锋利的箭","intermediate","weapon","active","2026-02-18T08:53:01.821Z","2026-02-18T08:53:01.821Z"
"16516","arrow of decay","Arrow of Decay","Arrow of Decay","衰变之箭","/ˈæroʊ ʌv dɪˈkeɪ/","tipped arrow with decay","带有衰变效果的药箭","advanced","item","active","2026-02-18T08:53:01.821Z","2026-02-18T08:53:01.821Z"
"16517","arrow of fire resistance","Arrow of Fire Resistance","Arrow of Fire Resistance","抗火之箭","/ˈæroʊ ʌv faɪər rɪˈzɪstəns/","fire resistance tipped arrow","抗火药箭","advanced","item","active","2026-02-18T08:53:01.821Z","2026-02-18T08:53:01.821Z"
"16518","arrow of harming","Arrow of Harming","Arrow of Harming","伤害之箭","/ˈæroʊ ʌv ˈhɑrmɪŋ/","harming tipped arrow","伤害药箭","intermediate","item","active","2026-02-18T08:53:01.821Z","2026-02-18T08:53:01.821Z"
"16519","arrow of healing","Arrow of Healing","Arrow of Healing","治疗之箭","/ˈæroʊ ʌv ˈhilɪŋ/","healing tipped arrow","治疗药箭","intermediate","item","active","2026-02-18T08:53:01.821Z","2026-02-18T08:53:01.821Z"
"16520","arrow of invisibility","Arrow of Invisibility","Arrow of Invisibility","隐身之箭","/ˈæroʊ ʌv ˌɪnvɪzəˈbɪlɪti/","invisibility tipped arrow","隐身药箭","advanced","item","active","2026-02-18T08:53:01.821Z","2026-02-18T08:53:01.821Z"
"16521","arrow of leaping","Arrow of Leaping","Arrow of Leaping","跳跃之箭","/ˈæroʊ ʌv ˈlipɪŋ/","leaping tipped arrow","跳跃药箭","intermediate","item","active","2026-02-18T08:53:01.821Z","2026-02-18T08:53:01.821Z"
"16522","arrow of luck","Arrow of Luck","Arrow of Luck","幸运之箭","/ˈæroʊ ʌv lʌk/","luck tipped arrow","幸运药箭","intermediate","item","active","2026-02-18T08:53:01.821Z","2026-02-18T08:53:01.821Z"
"16523","arrow of night vision","Arrow of Night Vision","Arrow of Night Vision","夜视之箭","/ˈæroʊ ʌv naɪt ˈvɪʒən/","night vision tipped arrow","夜视药箭","advanced","item","active","2026-02-18T08:53:01.821Z","2026-02-18T08:53:01.821Z"
"16524","arrow of poison","Arrow of Poison","Arrow of Poison","剧毒之箭","/ˈæroʊ ʌv ˈpɔɪzən/","poison tipped arrow","剧毒药箭","intermediate","item","active","2026-02-18T08:53:01.821Z","2026-02-18T08:53:01.821Z"
"16525","arrow of regeneration","Arrow of Regeneration","Arrow of Regeneration","再生之箭","/ˈæroʊ ʌv rɪˌdʒenəˈreɪʃən/","regeneration tipped arrow","再生药箭","advanced","item","active","2026-02-18T08:53:01.821Z","2026-02-18T08:53:01.821Z"
"16526","arrow of slow falling","Arrow of Slow Falling","Arrow of Slow Falling","缓降之箭","/ˈæroʊ ʌv sloʊ ˈfɔlɪŋ/","slow falling tipped arrow","缓降药箭","advanced","item","active","2026-02-18T08:53:01.821Z","2026-02-18T08:53:01.821Z"
"16527","arrow of slowness","Arrow of Slowness","Arrow of Slowness","迟缓之箭","/ˈæroʊ ʌv ˈsloʊnəs/","slowness tipped arrow","迟缓药箭","intermediate","item","active","2026-02-18T08:53:01.821Z","2026-02-18T08:53:01.821Z"
"16528","arrow of splashing","Arrow of Splashing","Arrow of Splashing","喷溅之箭","/ˈæroʊ ʌv ˈsplæʃɪŋ/","splashing effect arrow","喷溅效果箭","advanced","item","active","2026-02-18T08:53:01.821Z","2026-02-18T08:53:01.821Z"
"16529","arrow of strength","Arrow of Strength","Arrow of Strength","力量之箭","/ˈæroʊ ʌv strɛŋθ/","strength tipped arrow","力量药箭","intermediate","item","active","2026-02-18T08:53:01.821Z","2026-02-18T08:53:01.821Z"
"16530","arrow of swiftness","Arrow of Swiftness","Arrow of Swiftness","迅捷之箭","/ˈæroʊ ʌv ˈswɪftnəs/","swiftness tipped arrow","迅捷药箭","intermediate","item","active","2026-02-18T08:53:01.821Z","2026-02-18T08:53:01.821Z"
"16531","arrow of the turtle master","Arrow of The Turtle Master","Arrow of The Turtle Master","神龟之箭","/ˈæroʊ ʌv ðə ˈtɜrtəl ˈmæstər/","turtle master tipped arrow","神龟药箭","advanced","item","active","2026-02-18T08:53:01.821Z","2026-02-18T08:53:01.821Z"
"16532","arrow of water breathing","Arrow of Water Breathing","Arrow of Water Breathing","水肺之箭","/ˈæroʊ ʌv ˈwɔtər ˈbriθɪŋ/","water breathing tipped arrow","水肺药箭","advanced","item","active","2026-02-18T08:53:01.821Z","2026-02-18T08:53:01.821Z"
"16533","arrow of weakness","Arrow of Weakness","Arrow of Weakness","虚弱之箭","/ˈæroʊ ʌv ˈwiknəs/","weakness tipped arrow","虚弱药箭","intermediate","item","active","2026-02-18T08:53:01.821Z","2026-02-18T08:53:01.821Z"
"17085","arsenic","arsenic","Arsenic","Arsenic","","","","","","active","2026-02-18T08:53:01.821Z","2026-02-18T08:53:01.821Z"
"14964","art","art","art","艺术","/art/","Draw a picture","画画","basic","general","active","2026-02-18T08:53:01.821Z","2026-02-18T08:53:01.821Z"
"15753","art easel","art easel","art easel","画架","/ɑːrt ˈiː.zəl/","Paint a picture at the art easel","在画架上画一幅画","basic","school","active","2026-02-18T08:53:01.821Z","2026-02-18T08:53:01.821Z"
"15260","artist","artist","artist","艺术家","/ˈɑːrtɪst/","Creative artist","有创造力的艺术家","intermediate","profession","active","2026-02-18T08:53:01.821Z","2026-02-18T08:53:01.821Z"
"14878","ask","ask","ask","问","/ask/","Ask a question","问一个问题","basic","general","active","2026-02-18T08:53:01.821Z","2026-02-18T08:53:01.821Z"
"17139","astatine","astatine","Astatine","Astatine","","","","","","active","2026-02-18T08:53:01.821Z","2026-02-18T08:53:01.821Z"
"15453","astronaut","astronaut","astronaut","宇航员","/ˈæstrənɔːt/","Brave astronaut","勇敢的宇航员","advanced","space","active","2026-02-18T08:53:01.821Z","2026-02-18T08:53:01.821Z"
"14620","attack","Attack","Attack","攻击","/əˈtæk/","attack zombies","攻击僵尸","basic","verb","active","2026-02-18T08:53:01.821Z","2026-02-18T08:53:01.821Z"
"15574","aunt","aunt","aunt","阿姨","/ænt/","My aunt","我的阿姨","intermediate","family","active","2026-02-18T08:53:01.821Z","2026-02-18T08:53:01.821Z"
"15118","autumn","autumn","autumn","秋天","/autumn/","Autumn leaves","秋天的叶子","intermediate","general","active","2026-02-18T08:53:01.821Z","2026-02-18T08:53:01.821Z"
